Aadi	Hindu	Male	Beginning
Aakav	Hindu	Male	Shape
Aakesh	Hindu	Male	Lord of the sky
Aakil	Hindu	Male	Intelligent
Aalok	Hindu	Male	Light of God
Aamin	Hindu	Male	Grace of God
Aanan	Hindu	Male	Face
Aanandini	Hindu	Female	Happy, joyful
Anada	Hindu	Female	Happy, joyful
Anada	Hindu	Female	Happy, joyful
Aandaleeb	Hindu	Male	Bluebird
Aaron	Hebrew	Male	Exalted, on high
Aharon	Hebrew	Male	Exalted, on high
Ari	Hebrew	Male	Exalted, on high
Arin	Hebrew	Male	Exalted, on high
Arny	Hebrew	Male	Exalted, on high
Haroun	Hebrew	Male	Exalted, on high
Ron	Hebrew	Male	Exalted, on high
Ronnie	Hebrew	Male	Exalted, on high
Aharon	Hebrew	Male	Exalted, on high
Ari	Hebrew	Male	Exalted, on high
Arin	Hebrew	Male	Exalted, on high
Arny	Hebrew	Male	Exalted, on high
Haroun	Hebrew	Male	Exalted, on high
Ron	Hebrew	Male	Exalted, on high
Ronnie	Hebrew	Male	Exalted, on high
Aatmadeva	Hindu	Male	God of the soul
Aatmik	Hindu	Male	Soul
Aba	African - Ghanian	Female	Born on Thursday
Ababuo	African - Ghanian	Female	Child that keeps coming back
Abagbe	African - Nigerian	Female	Much wanted child
Abam	African - Ghanian	Female	Second child born after twins
Abarrane	Spanish - Basque	Female	Mother of many
Abame	Spanish - Basque	Female	Mother of many
Abame	Spanish - Basque	Female	Mother of many
Abayomi	African - Nigerian	Neutral	Brings happiness
Abba	Hebrew	Male	Father
Abbas	Arabic	Male	Stern
Abbott	Hebrew	Male	Father
Ab	Hebrew	Male	Father
Abad	Hebrew	Male	Father
Abe	Hebrew	Male	Father
Abbe	Hebrew	Male	Father
Abbey	Hebrew	Male	Father
Ab	Hebrew	Male	Father
Abad	Hebrew	Male	Father
Abe	Hebrew	Male	Father
Abbe	Hebrew	Male	Father
Abbey	Hebrew	Male	Father
Abda	Arabic	Male	Servant
Abdul	Arabic	Male	Servant of
Ab	Arabic	Male	Servant of
Abdel	Arabic	Male	Servant of
Abdullah	Arabic	Male	Servant of
Del	Arabic	Male	Servant of
Ab	Arabic	Male	Servant of
Abdel	Arabic	Male	Servant of
Abdullah	Arabic	Male	Servant of
Del	Arabic	Male	Servant of
Abebi	African - Nigerian	Female	She came after asking
Abedabun	Chippewa	Female	Sunrise
Abeeku	African - Ghanian	Male	Born on Wednesday
Abejide	African - Nigerian	Male	Born in winter
Abeke	African - Nigerian	Female	We asked for her
Abel	Hebrew	Male	Breath, a sigh
Abe	Hebrew	Male	Breath, a sigh
Abey	Hebrew	Male	Breath, a sigh
Abie	Hebrew	Male	Breath, a sigh
Able	Hebrew	Male	Breath, a sigh
Abe	Hebrew	Male	Breath, a sigh
Abey	Hebrew	Male	Breath, a sigh
Abie	Hebrew	Male	Breath, a sigh
Able	Hebrew	Male	Breath, a sigh
Abelard	Old German	Male	Highborn and steadfast
Abe	Old German	Male	Highborn and steadfast
Abel	Old German	Male	Highborn and steadfast
Abe	Old German	Male	Highborn and steadfast
Abel	Old German	Male	Highborn and steadfast
Abelia	Hebrew	Female	Breath, a sigh
Abella	Hebrew	Female	Breath, a sigh
Abelle	Hebrew	Female	Breath, a sigh
Abellona	Norse	Female	Sun, shining
Abena	African - Ghanian	Female	Born on a Thursday
Aba	African - Ghanian	Female	Born on a Thursday
Abana	African - Ghanian	Female	Born on a Thursday
Abena	African - Ghanian	Female	Born on a Thursday
Aba	African - Ghanian	Female	Born on a Thursday
Abana	African - Ghanian	Female	Born on a Thursday
Abena	African - Ghanian	Female	Born on a Thursday
Abeo	African - Nigerian	Female	She brings joy
Abequa	Chippewa	Female	Homebody
Abey	Omaha	Female	Leaf
Abeytu	Omaha	Female	Green leaf
Abeytzi	Omaha	Female	Yellow leaf
Abha	Hindu	Female	Light
Aabha	Hindu	Female	Light
Abhaa	Hindu	Female	Light
Aabha	Hindu	Female	Light
Abhaa	Hindu	Female	Light
Abhiraja	Hindu	Male	Great king
Abia	Arabic	Female	Great
Aviah	Hebrew	Male	My father is God
Abia	Hebrew	Male	My father is God
Abija	Hebrew	Male	My father is God
Abia	Hebrew	Male	My father is God
Abija	Hebrew	Male	My father is God
Avichayil	Hebrew	Female	Strong father
Avichayil	Hebrew	Female	Strong father
Avichayil	Hebrew	Female	Strong father
Abid	Arabic	Male	One who worships Allah
Abida	Arabic	Female	She who worships
Avida	Hebrew	Male	Father of knowledge
Abidemi	African - Nigerian	Female	Born during the father's absence
Aviel	Hebrew	Male	My father is God
Avigail	Hebrew	Female	My father is joyful
Abbie	Hebrew	Female	My father is joyful
Abby	Hebrew	Female	My father is joyful
Gael	Hebrew	Female	My father is joyful
Gail	Hebrew	Female	My father is joyful
Abbie	Hebrew	Female	My father is joyful
Abby	Hebrew	Female	My father is joyful
Gael	Hebrew	Female	My father is joyful
Gail	Hebrew	Female	My father is joyful
Avijah	Hebrew	Female	God is my father
Abimbola	African - Nigerian	Female	Wealthy
Avimelech	Hebrew	Male	My father is king
Abinkanile	African - Malawian	Female	Listen
Abiodun	African - Nigerian	Male	Born during war
Abiola	African - Nigerian	Male	Born during the New Year
Abiona	African - Nigerian	Female	Born during a trip
Abir	Arabic	Female	Scent
Abir	Hebrew	Male	Strong, also Knight
Avira	Hebrew	Female	Strong
Abi	Hebrew	Female	Strong
Abi	Hebrew	Female	Strong
Avisha	Hebrew	Male	Gift of my father
Abijah	Hebrew	Male	Gift of my father
Abishai	Hebrew	Male	Gift of my father
Abijah	Hebrew	Male	Gift of my father
Abishai	Hebrew	Male	Gift of my father
Avital	Hebrew	Female	Dew is my father
Abmaba	African - Ghanian	Female	Born on a Tuesday
Abner	Hebrew	Male	My father is light
Ab	Hebrew	Male	My father is light
Abby	Hebrew	Male	My father is light
Abna	Hebrew	Male	My father is light
Abnar	Hebrew	Male	My father is light
Abnor	Hebrew	Male	My father is light
Avner	Hebrew	Male	My father is light
Eb	Hebrew	Male	My father is light
Ebby	Hebrew	Male	My father is light
Ebner	Hebrew	Male	My father is light
Ab	Hebrew	Male	My father is light
Abby	Hebrew	Male	My father is light
Abna	Hebrew	Male	My father is light
Abnar	Hebrew	Male	My father is light
Abnor	Hebrew	Male	My father is light
Avner	Hebrew	Male	My father is light
